id;nom;birlik
314;"Краны на специальном шасси автомобильного типа, грузоподъемность более 250 т";"маш.-ч"
315;"Домкраты реечные";"маш.-ч"
316;"Домкраты гидравлические грузоподъемностью до 300 т (ГДЗ-300)";"маш.-ч"
317;"Лебедочные станции, грузоподъемность до 0,5 т";"маш.-ч"
318;"Лебедочные станции, грузоподъемность до 2,0 т";"маш.-ч"
319;"Автомобиль с полуприцепом грузоподъемность 20 т";"маш.-ч"
320;"Автомобиль тягач грузоподъемностью 40 т";"маш.-ч"
321;"Шарниры монтажные для подъема стальных опор ВЛ";"маш.-ч"
322;"Вышки телескопические на автомобиле высота 12 м, грузоподъемность 250 кг";"маш.-ч"
323;"Подъемники строительные грузопассажирские грузоподъемность до 1,0 т";"маш.-ч"
324;"Подъемники строительные грузопассажирские грузоподъемность до 2,0 т";"маш.-ч"
325;"Подъемники строительные грузопассажирские грузоподъемность до 4,0 т";"маш.-ч"
326;"Подъемные площадки для монтажа сборных дымовых труб, высота до 2,5 м";"маш.-ч"
327;"Подъемники реечные грузовые, грузоподъемность до 1 т";"маш.-ч"
328;"Подъемники многошахтные грузопассажирские 1-2-х клетьевые для труб, грузоподъемность до 4 т, высота до 200 м";"маш.-ч"
329;"Подъемники двухстоечные грузовые, грузоподъемность до 2 т, высота до 60 м";"маш.-ч"
330;"Опалубка скользящая для строительства монолитных железобетонных труб";"маш.-ч"
331;"Погрузчики грейферные";"маш.-ч"
332;"Погрузчики одноковшовые универсальные фронтальные пневмоколесные до 1 т";"маш.-ч"
333;"Погрузчики одноковшовые универсальные фронтальные пневмоколесные до 4 т";"маш.-ч"
334;"Погрузчики одноковшовые универсальные фронтальные пневмоколесные до 5 т";"маш.-ч"
335;"Погрузчики одноковшовые универсальные фронтальные пневмоколесные до 6 т";"маш.-ч"
336;"Погрузчики одноковшовые универсальные фронтальные пневмоколесные до 7 т";"маш.-ч"
337;"Краны-укосины для строительства труб, грузоподъемность до 0,5 т, высота 6 м, диаметр трубы до 2,5 м";"маш.-ч"
338;"Краны стационарные стреловые полноповоротные типа ""Пионер"", грузоподъемность 1,5 т";"маш.-ч"
339;"Конвейеры ленточные передвижные длиной 14 м";"маш.-ч"
340;"Конвейеры ленточные передвижные, высотой 10 м";"маш.-ч"
341;"Конвейеры ленточные передвижные, высотой до 80 м";"маш.-ч"
342;"Конвейеры роликовые неприводные, высота до 3,6 м";"маш.-ч"
343;"Конвейеры роликовые приводные, высота до 8,4 м";"маш.-ч"
344;"Тали ручные червячные передвижные";"маш.-ч"
345;"Блок монтажный однороликовый Б5";"маш.-ч"
346;"Автосамосвал SHANHI грузоподъемностью 25 тн";"маш.-ч"
347;"Агрегаты сварочные однопостовые для ручной электродуговой сварки";"маш.-ч"
348;"Установки с гибким индуктором для индукционного нагрева токами частотой 50 Гц";"маш.-ч"
349;"Компрессоры самоходные с двигателем внутреннего сгорания давлением 800 кПа (8 атм.), производительность 10 м3/мин и более";"маш.-ч"
350;"Вагонетки неопрокидные вместимостью 0,8 м3";"маш.-ч"
351;"Вагонетки неопрокидные вместимостью 1,4 м3";"маш.-ч"
352;"Вагонетки неопрокидные вместимостью 1,5 м3";"маш.-ч"
353;"Вагонетки неопрокидные вместимостью 2,5 м3";"маш.-ч"
354;"Вагонетки опрокидные вместимостью 0,8 м3";"маш.-ч"
355;"Вагонетки опрокидные вместимостью 1,1 м3 (с приводом)";"маш.-ч"
356;"Вагонетки шахтные 1 м3";"маш.-ч"
357;"Вагонетки шахтные 2,5 м3";"маш.-ч"
358;"Вагонетки шахтные 3,3 м3";"маш.-ч"
359;"Вагоны проходческие вместимостью 7 м3";"маш.-ч"
360;"Вагоны проходческие вместимостью 10 м3";"маш.-ч"
361;"Вагоны широкой колеи 20 т";"маш.-ч"
362;"Вакуумагрегаты для контроля сварных соединений с предельным давлением 6х10 МПа";"маш.-ч"
363;"Валкователи древесных остатков (без трактора)";"маш.-ч"
364;"Вентиляторы во взрывобезопасном исполнении";"маш.-ч"
365;"Вентиляторы центробежные для проветривания";"маш.-ч"
